Time, Position, Rotation
14:43:31:698,(0.812. 1.583. -0.272),(0.054. 0.948. 0.018. 0.314)
14:43:32:21,(0.811. 1.583. -0.273),(0.051. 0.948. 0.018. 0.313)
14:43:32:722,(0.808. 1.583. -0.270),(0.049. 0.949. 0.019. 0.311)
14:43:33:23,(0.809. 1.586. -0.261),(0.047. 0.940. 0.034. 0.336)
14:43:33:742,(0.808. 1.585. -0.256),(0.051. 0.943. 0.034. 0.327)
14:43:34:265,(0.813. 1.585. -0.262),(0.055. 0.944. 0.034. 0.323)
14:43:34:776,(0.812. 1.586. -0.274),(0.045. 0.953. 0.032. 0.297)
14:43:35:285,(0.781. 1.591. -0.289),(0.030. 0.994. 0.047. 0.094)
14:43:35:797,(0.770. 1.597. -0.288),(0.025. 0.995. 0.086. 0.046)
14:43:36:306,(0.772. 1.599. -0.285),(0.026. 0.994. 0.089. 0.058)
14:43:36:82,(0.777. 1.594. -0.280),(0.032. 0.994. 0.063. 0.086)
14:43:37:339,(0.782. 1.592. -0.281),(0.046. 0.992. 0.060. 0.106)
14:43:37:851,(0.787. 1.593. -0.275),(0.047. 0.988. 0.069. 0.132)
14:43:38:36,(0.786. 1.604. -0.259),(0.016. 0.978. 0.130. 0.163)
14:43:38:872,(0.790. 1.594. -0.256),(0.057. 0.978. 0.091. 0.181)
14:43:39:383,(0.781. 1.590. -0.253),(0.047. 0.987. 0.049. 0.144)
14:43:39:906,(0.775. 1.584. -0.260),(0.012. 0.993. 0.007. 0.118)
14:43:40:406,(0.775. 1.586. -0.268),(0.020. 0.994. 0.018. 0.108)
14:43:40:91,(0.787. 1.583. -0.290),(0.032. 0.993. 0.002. 0.110)
14:43:41:415,(0.799. 1.588. -0.300),(0.049. 0.988. 0.031. 0.146)
14:43:41:928,(0.794. 1.592. -0.299),(0.048. 0.990. 0.053. 0.125)
14:43:42:449,(0.790. 1.591. -0.301),(0.049. 0.992. 0.050. 0.106)
14:43:42:959,(0.792. 1.588. -0.304),(0.054. 0.991. 0.040. 0.113)
14:43:43:47,(0.794. 1.584. -0.295),(0.061. 0.990. 0.019. 0.123)
14:43:43:983,(0.794. 1.584. -0.287),(0.070. 0.988. 0.033. 0.130)
14:43:44:503,(0.787. 1.588. -0.281),(0.054. 0.990. 0.043. 0.123)
14:43:45:007,(0.784. 1.589. -0.287),(0.043. 0.993. 0.035. 0.104)
